USER ID        DATETIME                 PUNCH CODE     
-------------------------------------------------------
1073           2026-09-01 05:12:50      0              
1048           2026-09-01 05:18:07      0              
1021           2026-09-01 05:28:57      0              
1065           2026-09-01 05:43:04      0              
1038           2026-09-01 06:26:23      0              
1070           2026-09-01 06:55:24      0              
1042           2026-09-01 06:56:25      0              
1041           2026-09-01 06:58:40      0              
1008           2026-09-01 06:58:47      0              
1040           2026-09-01 07:06:36      0              
1080           2026-09-01 07:14:28      0              
1005           2026-09-01 07:16:13      0              
1076           2026-09-01 07:18:25      0              
1030           2026-09-01 07:23:30      0              
1027           2026-09-01 07:24:55      0              
1003           2026-09-01 07:29:26      0              
1066           2026-09-01 07:30:20      0              
1033           2026-09-01 07:30:43      0              
1056           2026-09-01 07:34:49      0              
1051           2026-09-01 07:40:31      0              
1068           2026-09-01 07:42:27      0              
1011           2026-09-01 07:43:18      0              
1013           2026-09-01 07:43:24      0              
1059           2026-09-01 07:43:31      0              
1071           2026-09-01 07:43:35      0              
1009           2026-09-01 07:44:15      0              
1020           2026-09-01 07:44:25      0              
1064           2026-09-01 07:46:36      0              
1031           2026-09-01 07:49:27      0              
1015           2026-09-01 07:49:32      0              
1012           2026-09-01 07:50:45      0              
1017           2026-09-01 07:51:02      0              
1055           2026-09-01 07:51:17      0              
1081           2026-09-01 07:51:36      0              
1052           2026-09-01 07:51:42      0              
1082           2026-09-01 07:56:57      0              
1024           2026-09-01 07:59:53      0              
1007           2026-09-01 08:05:38      0              
1043           2026-09-01 08:07:16      0              
1050           2026-09-01 08:07:45      0              
1039           2026-09-01 08:17:00      0              
1078           2026-09-01 08:19:45      0              
1002           2026-09-01 08:21:16      0              
1023           2026-09-01 08:40:07      0              
1046           2026-09-01 08:40:52      1              
1079           2026-09-01 08:53:31      0              
1072           2026-09-01 09:30:20      0              
1053           2026-09-01 09:39:38      1              
1032           2026-09-01 10:40:14      0              
1062           2026-09-01 11:18:21      0              
1064           2026-09-01 11:46:00      1              
1067           2026-09-01 12:09:18      0              
1018           2026-09-01 13:57:02      0              
1074           2026-09-01 14:24:23      0              
1000           2026-09-01 14:36:26      0              
1001           2026-09-01 14:47:58      0              
1075           2026-09-01 14:49:11      0              
1037           2026-09-01 14:55:49      0              
1004           2026-09-01 15:14:59      0              
1025           2026-09-01 15:27:06      0              
1047           2026-09-01 15:53:31      0              
1023           2026-09-01 16:09:58      1              
1035           2026-09-01 16:51:03      1              
1073           2026-09-01 17:04:17      1              
1065           2026-09-01 17:04:27      1              
1030           2026-09-01 17:17:05      1              
1048           2026-09-01 17:19:06      1              
1012           2026-09-01 17:20:50      1              
1066           2026-09-01 17:30:39      1              
1031           2026-09-01 17:33:16      1              
1051           2026-09-01 17:33:19      1              
1059           2026-09-01 17:34:44      1              
1018           2026-09-01 17:39:02      1              
1024           2026-09-01 17:39:08      1              
1055           2026-09-01 17:41:45      1              
1043           2026-09-01 17:41:52      1              
1052           2026-09-01 17:43:04      1              
1038           2026-09-01 17:44:54      1              
1008           2026-09-01 17:48:14      1              
1020           2026-09-01 17:48:55      1              
1076           2026-09-01 17:49:42      1              
1047           2026-09-01 17:57:50      1              
1078           2026-09-01 17:58:04      1              
1081           2026-09-01 17:58:45      1              
1013           2026-09-01 18:00:02      1              
1021           2026-09-01 18:02:03      1              
1017           2026-09-01 18:03:57      1              
1011           2026-09-01 18:04:10      1              
1041           2026-09-01 18:05:48      1              
1046           2026-09-01 18:16:31      0              
1039           2026-09-01 18:17:50      0              
1056           2026-09-01 18:19:14      0              
1068           2026-09-01 18:19:39      0              
1071           2026-09-01 18:19:47      0              
1027           2026-09-01 18:23:53      0              
1042           2026-09-01 18:38:16      0              
1003           2026-09-01 18:40:14      0              
1080           2026-09-01 18:40:28      1              
1005           2026-09-01 18:44:42      1              
1015           2026-09-01 19:08:54      1              
1009           2026-09-01 19:09:12      1              
1050           2026-09-01 19:09:42      1              
1062           2026-09-01 19:09:57      1              
1072           2026-09-01 19:35:20      1              
1070           2026-09-01 19:38:42      1              
1040           2026-09-01 19:46:17      1              
1079           2026-09-01 19:57:20      1              
1067           2026-09-01 20:02:16      1              
1083           2026-09-01 20:33:43      0              
1004           2026-09-01 21:27:09      1              
1033           2026-09-01 21:40:28      1              
1032           2026-09-01 22:16:07      1              
1035           2026-09-01 22:27:55      1              
1074           2026-09-01 22:30:52      1              
1025           2026-09-01 22:32:02      1              
1075           2026-09-01 22:32:20      1              
1001           2026-09-01 22:33:37      1              
1000           2026-09-01 22:34:13      0              
1037           2026-09-02 00:18:33      1              
1082           2026-09-02 00:18:44      1              
1065           2026-09-02 05:06:31      0              
1073           2026-09-02 05:20:23      0              
1021           2026-09-02 05:58:31      0              
1048           2026-09-02 06:05:26      0              
1040           2026-09-02 06:14:37      0              
1038           2026-09-02 06:33:09      0              
1042           2026-09-02 06:54:34      0              
1008           2026-09-02 06:54:38      0              
1041           2026-09-02 06:57:16      0              
1070           2026-09-02 07:03:39      0              
1076           2026-09-02 07:04:51      0              
1033           2026-09-02 07:11:08      0              
1080           2026-09-02 07:13:49      0              
1005           2026-09-02 07:17:17      0              
1059           2026-09-02 07:20:28      0              
1003           2026-09-02 07:20:36      0              
1030           2026-09-02 07:23:16      0              
1056           2026-09-02 07:26:57      0              
1027           2026-09-02 07:29:48      0              
1020           2026-09-02 07:31:39      0              
1072           2026-09-02 07:32:43      0              
1051           2026-09-02 07:35:13      0              
1071           2026-09-02 07:39:02      0              
1031           2026-09-02 07:39:18      0              
1066           2026-09-02 07:39:54      0              
1010           2026-09-02 07:42:51      0              
1011           2026-09-02 07:43:38      0              
1013           2026-09-02 07:44:24      0              
1009           2026-09-02 07:44:46      0              
1001           2026-09-02 07:44:49      0              
1002           2026-09-02 07:48:35      0              
1024           2026-09-02 07:48:41      0              
1006           2026-09-02 07:49:43      0              
1068           2026-09-02 07:49:51      0              
1012           2026-09-02 07:50:41      0              
1064           2026-09-02 07:51:02      0              
1015           2026-09-02 07:51:49      0              
1052           2026-09-02 07:53:28      0              
1028           2026-09-02 07:53:48      0              
1017           2026-09-02 07:53:52      0              
1081           2026-09-02 07:58:57      0              
1055           2026-09-02 07:59:03      0              
1043           2026-09-02 08:01:05      0              
1022           2026-09-02 08:06:48      0              
1047           2026-09-02 08:07:24      0              
1050           2026-09-02 08:13:27      0              
1004           2026-09-02 08:18:24      0              
1046           2026-09-02 08:24:00      1              
1078           2026-09-02 08:46:43      0              
1018           2026-09-02 08:47:34      0              
1079           2026-09-02 08:57:32      0              
1007           2026-09-02 09:01:07      0              
1062           2026-09-02 09:03:53      0              
1083           2026-09-02 09:05:09      1              
1032           2026-09-02 09:25:11      0              
1036           2026-09-02 11:08:18      0              
1062           2026-09-02 11:56:43      1              
1067           2026-09-02 12:10:27      1              
